File Name,User,License,License Link,Usage
baby2.wav,tangjingyuan,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Crying newborn baby child 3.WAV,the_yura,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
baby-crying-1_(sounds-AT-ermfilm_pl).wav,ermfilm,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
"Vauva itkee / Baby, newborn, crying.",YleArkisto,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
HOME WITH BABY AMBIENCE,Elenalostale,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Baby crying.wav,Alex_hears_things,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
newborn baby crying.wav,blukotek,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Fussy baby.wav,Sruddi1,Sampling Plus 1.0 Generic,https://creativecommons.org/licenses/sampling+/1.0/,"Original, Altered"
"Baby Girl 1 year old - Fusses, Cries",Sauron974,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
LOUPE`_0015.wav,adralba,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
hospital baby crying getting stitches with doctors conversing arabic Gaza 2016.wav,kyles,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
HUMAN_BABY_2MONTHS_CRY_01.wav,keng-wai-chane-chick-te,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
annie cry.wav,Badfinger05200,Attribution-NonCommercial 3.0 Unported,https://creativecommons.org/licenses/by-nc/3.0/,"Original, Altered"
20070728_crying_baby_train..wav,thanvannispen,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
